ID,CPU_LOAD,MEMORY_LEAK_LOAD,DELAY,ERROR_1000,ERROR_1001,ERROR_1002,ERROR_1003,ROOT_CAUSE
119,0,1,0,1,1,0,1,MEMORY_LEAK
120,0,0,1,1,1,1,1,NETWORK_DELAY
121,0,1,0,1,0,1,0,MEMORY_LEAK
122,1,1,0,0,1,0,0,DATABASE_ISSUE
123,1,0,1,0,0,1,0,NETWORK_DELAY
124,1,0,0,0,1,1,0,DATABASE_ISSUE
125,1,0,0,0,0,1,0,DATABASE_ISSUE
126,0,0,1,1,1,0,0,NETWORK_DELAY
127,0,1,1,0,1,0,0,NETWORK_DELAY
128,0,0,0,0,1,0,0,NETWORK_DELAY
129,0,1,0,0,0,0,0,MEMORY_LEAK
130,1,0,0,0,0,1,0,DATABASE_ISSUE
131,0,0,1,1,1,0,0,NETWORK_DELAY
132,1,0,0,0,0,0,0,MEMORY_LEAK
133,1,0,1,0,0,1,0,DATABASE_ISSUE
134,1,0,0,0,1,0,0,DATABASE_ISSUE
135,0,0,0,0,1,0,1,DATABASE_ISSUE
136,1,1,0,0,1,1,1,DATABASE_ISSUE
137,1,0,0,0,1,0,0,DATABASE_ISSUE
138,0,0,1,1,0,1,1,NETWORK_DELAY
139,0,1,1,0,1,0,1,MEMORY_LEAK
140,0,1,0,1,1,0,0,MEMORY_LEAK
141,0,0,1,1,1,1,0,NETWORK_DELAY
142,0,1,0,1,1,1,0,DATABASE_ISSUE
143,0,1,1,0,0,1,0,DATABASE_ISSUE
144,1,1,1,0,1,0,1,MEMORY_LEAK
145,1,0,0,0,1,1,1,DATABASE_ISSUE
146,0,0,1,1,0,0,0,NETWORK_DELAY
147,1,1,0,1,0,0,1,MEMORY_LEAK
148,0,0,1,1,1,0,0,NETWORK_DELAY
149,1,0,1,0,0,1,0,DATABASE_ISSUE
150,0,0,1,1,0,0,0,NETWORK_DELAY
151,0,0,1,1,0,1,0,NETWORK_DELAY
152,0,1,0,0,0,1,1,MEMORY_LEAK
153,1,1,1,1,0,1,1,DATABASE_ISSUE
154,0,0,1,0,0,0,1,NETWORK_DELAY
155,0,0,0,1,1,1,0,DATABASE_ISSUE
156,0,0,0,0,0,1,0,DATABASE_ISSUE
157,1,0,0,1,1,1,0,DATABASE_ISSUE
158,0,0,0,1,0,0,1,NETWORK_DELAY
159,0,1,1,0,1,0,0,NETWORK_DELAY
160,0,1,0,0,1,0,1,MEMORY_LEAK
161,0,0,1,1,0,1,0,NETWORK_DELAY
162,0,0,1,1,0,0,0,NETWORK_DELAY
163,1,0,1,1,1,0,1,NETWORK_DELAY
164,0,0,0,0,1,1,0,DATABASE_ISSUE
165,1,0,1,1,1,0,0,NETWORK_DELAY
166,0,0,0,1,1,0,1,NETWORK_DELAY
167,0,1,0,0,0,0,1,MEMORY_LEAK
168,1,0,0,0,0,1,0,DATABASE_ISSUE
169,0,1,0,0,0,0,1,MEMORY_LEAK
170,0,1,0,0,0,0,0,MEMORY_LEAK
171,1,1,1,1,0,1,0,DATABASE_ISSUE
172,0,1,1,0,1,1,1,MEMORY_LEAK
173,0,1,0,1,0,0,0,NETWORK_DELAY
174,0,1,1,1,0,0,1,MEMORY_LEAK
175,0,1,1,0,0,0,1,MEMORY_LEAK
176,1,0,0,0,0,0,0,DATABASE_ISSUE
177,0,1,1,1,0,0,1,MEMORY_LEAK
178,0,1,0,0,1,1,0,MEMORY_LEAK
179,1,1,0,0,0,0,1,MEMORY_LEAK
180,0,0,0,0,1,1,0,DATABASE_ISSUE
181,0,0,1,0,0,0,0,NETWORK_DELAY
182,0,1,1,0,0,1,1,MEMORY_LEAK
183,1,1,0,0,1,1,0,DATABASE_ISSUE
184,1,0,0,0,1,1,0,DATABASE_ISSUE
185,1,0,0,0,1,1,1,MEMORY_LEAK
186,1,0,0,0,1,1,0,DATABASE_ISSUE
187,0,1,1,0,0,1,0,MEMORY_LEAK
188,0,0,1,1,0,0,0,NETWORK_DELAY
189,0,0,1,1,1,1,0,DATABASE_ISSUE
190,0,1,0,0,0,0,1,MEMORY_LEAK
191,1,1,0,0,1,0,1,MEMORY_LEAK
192,1,1,0,0,0,0,1,MEMORY_LEAK
193,0,0,1,1,1,0,1,NETWORK_DELAY
194,1,0,1,0,1,0,1,MEMORY_LEAK
195,1,0,1,1,1,0,0,NETWORK_DELAY
196,1,0,0,1,1,1,1,DATABASE_ISSUE
197,1,0,0,0,1,0,0,DATABASE_ISSUE
198,1,1,0,0,1,0,0,DATABASE_ISSUE
199,1,1,0,0,1,1,1,DATABASE_ISSUE
200,0,0,0,1,0,0,0,MEMORY_LEAK
201,1,0,0,1,1,1,0,DATABASE_ISSUE
202,0,0,0,1,1,0,0,NETWORK_DELAY
203,1,1,0,0,0,0,0,MEMORY_LEAK
204,0,1,0,0,1,0,1,MEMORY_LEAK
205,1,1,0,0,1,1,0,DATABASE_ISSUE
206,1,0,0,0,0,0,0,NETWORK_DELAY
207,1,0,0,1,1,1,0,DATABASE_ISSUE
208,1,0,0,0,0,0,1,MEMORY_LEAK
209,1,0,0,0,1,1,0,MEMORY_LEAK
210,0,1,0,0,1,1,0,DATABASE_ISSUE
211,1,0,0,0,1,1,1,DATABASE_ISSUE
212,0,1,0,0,1,1,0,DATABASE_ISSUE
213,0,0,1,1,1,1,1,NETWORK_DELAY
214,1,0,1,0,1,1,0,DATABASE_ISSUE
215,1,0,0,0,1,1,0,DATABASE_ISSUE
216,1,0,0,0,0,1,0,DATABASE_ISSUE
217,1,1,1,0,0,0,1,MEMORY_LEAK
218,0,0,1,1,1,0,0,NETWORK_DELAY
219,1,0,0,0,0,1,0,DATABASE_ISSUE
220,1,0,0,0,1,0,0,MEMORY_LEAK
221,1,0,0,0,1,1,0,DATABASE_ISSUE
222,1,0,0,1,1,1,0,DATABASE_ISSUE
223,0,0,1,0,1,0,1,NETWORK_DELAY
224,0,1,0,0,0,0,1,MEMORY_LEAK
225,0,0,0,1,0,0,1,NETWORK_DELAY
226,0,0,1,1,0,1,0,NETWORK_DELAY
227,0,0,0,0,1,1,0,DATABASE_ISSUE
228,1,1,0,0,1,0,1,MEMORY_LEAK
229,1,0,0,1,0,1,0,DATABASE_ISSUE
230,0,0,1,1,0,0,0,NETWORK_DELAY
231,0,1,1,1,1,1,0,NETWORK_DELAY
232,0,0,1,0,1,0,0,NETWORK_DELAY
233,1,0,0,0,0,0,0,DATABASE_ISSUE
234,1,0,0,0,1,0,0,DATABASE_ISSUE
235,0,0,1,1,0,0,0,NETWORK_DELAY
236,0,0,0,0,1,0,0,NETWORK_DELAY
237,0,1,1,1,0,1,1,NETWORK_DELAY
238,1,1,0,0,1,0,1,MEMORY_LEAK
239,1,1,1,1,1,0,1,MEMORY_LEAK
240,1,1,0,0,1,1,1,MEMORY_LEAK
241,1,0,1,1,0,0,0,NETWORK_DELAY
242,1,1,0,1,0,1,1,DATABASE_ISSUE
243,0,0,1,1,1,0,0,NETWORK_DELAY
244,1,0,0,1,1,0,1,DATABASE_ISSUE
245,0,0,1,1,1,0,1,NETWORK_DELAY
246,1,0,0,0,0,1,0,DATABASE_ISSUE
247,0,0,1,1,0,0,0,NETWORK_DELAY
248,0,1,0,0,0,0,0,MEMORY_LEAK
249,1,0,0,0,0,1,1,DATABASE_ISSUE
250,0,1,0,0,0,0,1,MEMORY_LEAK
251,0,0,1,1,0,0,1,NETWORK_DELAY
252,0,1,0,0,0,1,0,MEMORY_LEAK
253,0,1,0,0,0,0,1,NETWORK_DELAY
254,0,0,1,0,0,0,0,NETWORK_DELAY
255,1,1,0,0,0,1,1,MEMORY_LEAK
256,0,1,1,1,1,0,0,NETWORK_DELAY
257,1,0,0,1,1,1,1,DATABASE_ISSUE
258,1,1,1,1,0,0,0,DATABASE_ISSUE
259,1,0,1,1,0,0,0,NETWORK_DELAY
260,0,0,1,0,1,0,0,NETWORK_DELAY
261,1,1,0,0,1,0,0,MEMORY_LEAK
262,1,0,0,0,0,0,1,MEMORY_LEAK
263,1,0,0,0,0,0,0,DATABASE_ISSUE
264,0,0,0,0,1,0,0,DATABASE_ISSUE
265,1,1,1,0,0,1,0,DATABASE_ISSUE
266,1,1,0,0,1,0,0,MEMORY_LEAK
267,1,0,0,0,1,0,0,DATABASE_ISSUE
268,1,1,1,1,1,1,0,NETWORK_DELAY
269,0,0,1,1,0,0,1,NETWORK_DELAY
270,0,0,0,0,0,0,0,MEMORY_LEAK
271,1,0,0,0,1,1,0,DATABASE_ISSUE
272,0,0,0,1,0,1,0,NETWORK_DELAY
273,0,0,1,0,0,1,0,NETWORK_DELAY
274,1,1,0,0,1,0,1,DATABASE_ISSUE
275,1,0,0,0,1,0,0,DATABASE_ISSUE
276,1,1,1,0,0,1,1,DATABASE_ISSUE
277,0,0,1,1,0,1,0,NETWORK_DELAY
278,1,0,0,1,1,1,1,NETWORK_DELAY
279,1,0,0,0,1,0,0,DATABASE_ISSUE
280,0,1,1,1,0,1,1,NETWORK_DELAY
281,1,1,0,0,1,1,1,MEMORY_LEAK
282,0,0,1,0,1,1,0,NETWORK_DELAY
283,0,0,0,0,0,1,0,DATABASE_ISSUE
284,1,0,0,1,1,1,0,DATABASE_ISSUE
285,0,0,1,1,0,1,1,NETWORK_DELAY
286,1,1,0,0,0,0,0,DATABASE_ISSUE
287,0,0,1,1,0,0,0,NETWORK_DELAY
288,0,0,1,1,1,1,0,NETWORK_DELAY
289,1,1,1,1,1,0,0,NETWORK_DELAY
290,1,1,0,1,0,1,0,DATABASE_ISSUE
291,1,1,0,1,1,1,0,DATABASE_ISSUE
292,1,0,0,1,1,1,0,DATABASE_ISSUE
293,0,0,0,0,0,0,1,DATABASE_ISSUE
294,1,1,0,0,1,0,1,MEMORY_LEAK
295,0,1,1,0,1,0,0,MEMORY_LEAK
296,0,0,0,0,0,0,1,DATABASE_ISSUE
297,0,0,0,1,0,0,0,NETWORK_DELAY
298,1,1,1,0,0,0,0,MEMORY_LEAK
299,0,1,1,1,1,0,0,NETWORK_DELAY
300,1,0,0,0,1,1,0,DATABASE_ISSUE
301,0,0,0,0,1,0,1,MEMORY_LEAK
302,0,0,0,0,0,0,1,MEMORY_LEAK
303,0,1,1,0,0,1,1,MEMORY_LEAK
304,0,1,0,1,1,0,1,MEMORY_LEAK
305,1,1,0,1,0,1,0,NETWORK_DELAY
306,0,0,1,1,0,0,0,NETWORK_DELAY
307,1,0,0,1,1,0,0,NETWORK_DELAY
308,0,0,0,1,1,0,1,DATABASE_ISSUE
309,0,1,0,0,1,0,1,MEMORY_LEAK
310,0,0,0,1,1,0,1,NETWORK_DELAY
311,1,0,0,0,0,0,1,MEMORY_LEAK
312,1,0,1,0,0,0,0,DATABASE_ISSUE
313,0,1,0,0,0,1,1,MEMORY_LEAK
314,0,1,1,0,0,1,0,DATABASE_ISSUE
315,1,0,1,0,1,0,0,NETWORK_DELAY
316,1,0,0,0,1,0,1,MEMORY_LEAK
317,0,1,0,0,0,1,1,MEMORY_LEAK
318,0,1,0,1,0,0,1,MEMORY_LEAK
319,0,1,1,0,0,1,0,NETWORK_DELAY
320,0,1,0,0,0,0,0,MEMORY_LEAK
321,0,1,1,1,1,0,0,NETWORK_DELAY
322,1,0,0,0,0,0,0,MEMORY_LEAK
323,1,1,0,0,1,0,1,MEMORY_LEAK
324,0,1,1,0,0,0,1,MEMORY_LEAK
325,0,0,1,1,1,0,0,NETWORK_DELAY
326,0,1,0,0,0,1,1,MEMORY_LEAK
327,0,1,0,0,0,0,1,MEMORY_LEAK
328,0,0,1,0,0,1,0,NETWORK_DELAY
329,0,0,1,1,0,1,0,NETWORK_DELAY
330,0,0,0,0,0,0,1,MEMORY_LEAK
331,1,1,0,0,0,0,0,DATABASE_ISSUE
332,1,1,1,0,0,1,1,MEMORY_LEAK
333,1,1,0,0,0,1,1,MEMORY_LEAK
334,1,1,1,1,0,0,0,NETWORK_DELAY
335,0,0,0,0,0,0,1,MEMORY_LEAK
336,1,0,0,1,1,1,1,DATABASE_ISSUE
337,0,1,1,0,0,0,1,MEMORY_LEAK
338,1,0,1,0,0,1,0,DATABASE_ISSUE
339,1,0,0,1,1,1,0,DATABASE_ISSUE
340,0,0,1,1,1,0,0,NETWORK_DELAY
341,1,0,0,0,1,0,1,NETWORK_DELAY
342,1,0,1,0,0,1,0,DATABASE_ISSUE
343,0,0,0,0,0,1,0,MEMORY_LEAK
344,1,0,0,0,1,1,0,DATABASE_ISSUE
345,0,1,1,1,1,0,0,NETWORK_DELAY
346,0,0,1,0,0,0,0,NETWORK_DELAY
347,0,1,0,1,1,0,0,NETWORK_DELAY
348,1,1,1,1,1,1,0,DATABASE_ISSUE
349,0,0,1,0,0,0,0,NETWORK_DELAY
350,1,0,0,0,0,1,0,DATABASE_ISSUE
351,0,0,0,0,0,0,1,MEMORY_LEAK
352,1,0,0,1,1,1,1,DATABASE_ISSUE
353,1,0,0,0,0,1,0,DATABASE_ISSUE
354,1,0,0,0,1,1,1,DATABASE_ISSUE
355,0,0,1,1,1,0,0,NETWORK_DELAY
356,0,1,0,1,0,1,0,MEMORY_LEAK
357,0,0,1,0,1,0,1,NETWORK_DELAY
358,0,1,1,1,0,0,1,MEMORY_LEAK
359,1,0,0,0,0,1,0,DATABASE_ISSUE
360,1,0,0,0,1,1,0,DATABASE_ISSUE
361,0,0,1,1,1,0,0,NETWORK_DELAY
362,1,1,0,0,0,1,1,MEMORY_LEAK
363,1,0,0,0,0,1,0,DATABASE_ISSUE
364,0,1,0,0,0,1,1,MEMORY_LEAK
365,0,1,1,1,0,1,1,NETWORK_DELAY
366,0,0,0,0,0,0,1,MEMORY_LEAK
367,1,1,0,1,0,1,0,DATABASE_ISSUE
368,1,0,0,0,0,1,1,DATABASE_ISSUE
369,0,1,0,0,0,1,1,MEMORY_LEAK
370,0,0,1,1,0,0,0,NETWORK_DELAY
371,1,1,0,1,1,0,1,MEMORY_LEAK
372,1,1,1,0,0,1,0,DATABASE_ISSUE
373,0,1,0,0,0,0,1,MEMORY_LEAK
374,1,1,0,0,1,0,1,DATABASE_ISSUE
375,0,0,1,1,1,0,0,NETWORK_DELAY
376,0,1,0,0,0,0,1,MEMORY_LEAK
377,1,1,1,1,0,0,0,NETWORK_DELAY
378,1,0,1,1,1,0,0,NETWORK_DELAY
379,1,0,1,1,1,0,0,NETWORK_DELAY
380,0,0,1,1,0,0,0,NETWORK_DELAY
381,1,0,1,1,1,0,0,NETWORK_DELAY
382,1,1,0,1,0,1,1,MEMORY_LEAK
383,0,0,1,1,1,0,0,NETWORK_DELAY
384,0,1,1,0,1,0,1,MEMORY_LEAK
385,1,0,0,1,0,0,0,NETWORK_DELAY
386,0,0,1,0,0,1,0,NETWORK_DELAY
387,1,1,0,0,0,1,0,DATABASE_ISSUE
388,0,1,0,1,1,0,1,MEMORY_LEAK
389,0,1,1,0,1,1,1,MEMORY_LEAK
390,1,0,0,0,0,1,0,DATABASE_ISSUE
391,0,1,0,0,1,0,1,MEMORY_LEAK
392,0,0,0,0,1,0,0,MEMORY_LEAK
393,0,1,1,0,1,0,1,MEMORY_LEAK
394,0,1,0,0,0,0,0,MEMORY_LEAK
395,0,1,0,0,1,0,1,MEMORY_LEAK
396,0,0,1,1,1,0,0,NETWORK_DELAY
397,1,0,0,0,0,0,0,DATABASE_ISSUE
398,0,0,0,0,0,0,0,MEMORY_LEAK
399,1,1,0,1,0,1,1,MEMORY_LEAK
400,1,1,0,0,1,1,0,MEMORY_LEAK
401,0,1,0,0,0,0,1,MEMORY_LEAK
402,0,1,0,1,0,1,1,MEMORY_LEAK
403,0,0,0,0,0,0,0,NETWORK_DELAY
404,1,0,0,0,1,1,0,DATABASE_ISSUE
405,0,0,0,1,0,0,1,MEMORY_LEAK
406,0,0,1,1,1,0,0,NETWORK_DELAY
407,0,0,1,1,0,0,0,NETWORK_DELAY
408,1,1,0,0,0,1,0,DATABASE_ISSUE
409,1,0,0,0,0,1,0,DATABASE_ISSUE
410,1,1,1,0,1,0,1,MEMORY_LEAK
411,0,0,1,1,0,1,0,NETWORK_DELAY
412,0,0,1,1,0,0,0,NETWORK_DELAY
413,0,1,0,0,1,0,0,NETWORK_DELAY
414,1,1,0,0,1,1,0,DATABASE_ISSUE
415,1,1,1,0,0,1,0,DATABASE_ISSUE
416,1,0,0,0,1,1,0,DATABASE_ISSUE
417,0,1,0,0,0,0,0,MEMORY_LEAK
418,0,0,0,0,1,0,1,MEMORY_LEAK
419,0,1,0,1,1,0,1,MEMORY_LEAK
420,0,0,1,1,1,1,1,NETWORK_DELAY
421,0,1,0,1,0,1,0,MEMORY_LEAK
422,1,1,0,0,1,0,0,DATABASE_ISSUE
423,1,0,1,0,0,1,0,NETWORK_DELAY
424,1,0,0,0,1,1,0,DATABASE_ISSUE
425,1,0,0,0,0,1,0,DATABASE_ISSUE
426,0,0,1,1,1,0,0,NETWORK_DELAY
427,0,1,1,0,1,0,0,NETWORK_DELAY
428,0,0,0,0,1,0,0,NETWORK_DELAY
429,0,1,0,0,0,0,0,MEMORY_LEAK
430,1,0,0,0,0,1,0,DATABASE_ISSUE
431,0,0,1,1,1,0,0,NETWORK_DELAY
432,1,0,0,0,0,0,0,MEMORY_LEAK
433,1,0,1,0,0,1,0,DATABASE_ISSUE
434,1,0,0,0,1,0,0,DATABASE_ISSUE
435,0,0,0,0,1,0,1,DATABASE_ISSUE
436,1,1,0,0,1,1,1,DATABASE_ISSUE
437,1,0,0,0,1,0,0,DATABASE_ISSUE
438,0,0,1,1,0,1,1,NETWORK_DELAY
439,0,1,1,0,1,0,1,MEMORY_LEAK
440,0,1,0,1,1,0,0,MEMORY_LEAK
441,0,0,1,1,1,1,0,NETWORK_DELAY
442,0,1,0,1,1,1,0,DATABASE_ISSUE
443,0,1,1,0,0,1,0,DATABASE_ISSUE
444,1,1,1,0,1,0,1,MEMORY_LEAK
445,1,0,0,0,1,1,1,DATABASE_ISSUE
446,0,0,1,1,0,0,0,NETWORK_DELAY
447,1,1,0,1,0,0,1,MEMORY_LEAK
448,0,0,1,1,1,0,0,NETWORK_DELAY
449,1,0,1,0,0,1,0,DATABASE_ISSUE
450,0,0,1,1,0,0,0,NETWORK_DELAY
451,0,0,1,1,0,1,0,NETWORK_DELAY
452,0,1,0,0,0,1,1,MEMORY_LEAK
453,1,1,1,1,0,1,1,DATABASE_ISSUE
454,0,0,1,0,0,0,1,NETWORK_DELAY
455,0,0,0,1,1,1,0,DATABASE_ISSUE
456,0,0,0,0,0,1,0,DATABASE_ISSUE
457,1,0,0,1,1,1,0,DATABASE_ISSUE
458,0,0,0,1,0,0,1,NETWORK_DELAY
459,0,1,1,0,1,0,0,NETWORK_DELAY
460,0,1,0,0,1,0,1,MEMORY_LEAK
461,0,0,1,1,0,1,0,NETWORK_DELAY
462,0,0,1,1,0,0,0,NETWORK_DELAY
463,1,0,1,1,1,0,1,NETWORK_DELAY
464,0,0,0,0,1,1,0,DATABASE_ISSUE
465,1,0,1,1,1,0,0,NETWORK_DELAY
466,0,0,0,1,1,0,1,NETWORK_DELAY
467,0,1,0,0,0,0,1,MEMORY_LEAK
468,1,0,0,0,0,1,0,DATABASE_ISSUE
469,0,1,0,0,0,0,1,MEMORY_LEAK
470,0,1,0,0,0,0,0,MEMORY_LEAK
471,1,1,1,1,0,1,0,DATABASE_ISSUE
472,0,1,1,0,1,1,1,MEMORY_LEAK
473,0,1,0,1,0,0,0,NETWORK_DELAY
474,0,1,1,1,0,0,1,MEMORY_LEAK
475,0,1,1,0,0,0,1,MEMORY_LEAK
476,1,0,0,0,0,0,0,DATABASE_ISSUE
477,0,1,1,1,0,0,1,MEMORY_LEAK
478,0,1,0,0,1,1,0,MEMORY_LEAK
479,1,1,0,0,0,0,1,MEMORY_LEAK
480,0,0,0,0,1,1,0,DATABASE_ISSUE
481,0,0,1,0,0,0,0,NETWORK_DELAY
482,0,1,1,0,0,1,1,MEMORY_LEAK
483,1,1,0,0,1,1,0,DATABASE_ISSUE
484,1,0,0,0,1,1,0,DATABASE_ISSUE
485,1,0,0,0,1,1,1,MEMORY_LEAK
486,1,0,0,0,1,1,0,DATABASE_ISSUE
487,0,1,1,0,0,1,0,MEMORY_LEAK
488,0,0,1,1,0,0,0,NETWORK_DELAY
489,0,0,1,1,1,1,0,DATABASE_ISSUE
490,0,1,0,0,0,0,1,MEMORY_LEAK
491,1,1,0,0,1,0,1,MEMORY_LEAK
492,1,1,0,0,0,0,1,MEMORY_LEAK
493,0,0,1,1,1,0,1,NETWORK_DELAY
494,1,0,1,0,1,0,1,MEMORY_LEAK
495,1,0,1,1,1,0,0,NETWORK_DELAY
496,1,0,0,1,1,1,1,DATABASE_ISSUE
497,1,0,0,0,1,0,0,DATABASE_ISSUE
498,1,1,0,0,1,0,0,DATABASE_ISSUE
499,1,1,0,0,1,1,1,DATABASE_ISSUE
500,0,0,0,1,0,0,0,MEMORY_LEAK
501,1,0,0,1,1,1,0,DATABASE_ISSUE
502,0,0,0,1,1,0,0,NETWORK_DELAY
503,1,1,0,0,0,0,0,MEMORY_LEAK
504,0,1,0,0,1,0,1,MEMORY_LEAK
505,1,1,0,0,1,1,0,DATABASE_ISSUE
506,1,0,0,0,0,0,0,NETWORK_DELAY
